Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
11 Com,b,11 Com b,Radial Velocity,2007,326.03,6165.6,12.1,19.1,,
11 UMi,b,11 UMi b,Radial Velocity,2009,516.21997,4684.8142,12.3,13.8,,
14 And,b,14 And b,Radial Velocity,2008,185.84,1525.5,12.9,3.9,,
14 Her,b,14 Her b,Radial Velocity,2002,1773.40002,1481.0878,12.9,3.79,,
16 Cyg B,b,16 Cyg B b,Radial Velocity,1996,798.5,565.7374,13.5,1.26,,
18 Del,b,18 Del b,Radial Velocity,2008,993.3,3273.5,12.5,9.21,,
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,2008,,3000,18.647,2.54,1700,
24 Boo,b,24 Boo b,Radial Velocity,2018,30.3506,289.2253,13.9,0.592,,
24 Sex,b,24 Sex b,Radial Velocity,2010,452.8,632.46,13.4,1.44,,
24 Sex,c,24 Sex c,Radial Velocity,2010,883,273.32,13.9,0.559,,
2MASS J01033563-5515561 A,b,2MASS J01033563-5515561 AB b,Imaging,2013,,4131.79,12.3,12.2,,
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,2013,,7786.5,11.209,30.4,1600,
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,2015,,4417.837,16.141,5.77,,
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,2010,,2383.6,12.6,6.55,,
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,2004,,1271,13,3.18,1150,
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,416,603.877,13.4,1.38,,
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,2009,7336.5,6657.48,10.31,33.4,2075,
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,2016,,3972.875,12.3,11.7,,
30 Ari B,b,30 Ari B b,Radial Velocity,2009,335.10001,4392.4106,12.3,13,,
4 UMa,b,4 UMa b,Radial Velocity,2006,269.3,2256.5,12.7,6.05,,
42 Dra,b,42 Dra b,Radial Velocity,2008,479.1,1233.13,13,3.08,,
47 UMa,b,47 UMa b,Radial Velocity,1996,1078,804.08,13.2,1.92,,
47 UMa,c,47 UMa c,Radial Velocity,2001,2391,171.621,14.2,0.329,,
47 UMa,d,47 UMa d,Radial Velocity,2009,14002,521.22,13.5,1.16,,
51 Eri,b,51 Eri b,Imaging,2015,11688,635.66,13.4,1.45,700,
51 Peg,b,51 Peg b,Radial Velocity,1995,4.230785,146.2018,14.3,0.275,,
55 Cnc,b,55 Cnc b,Radial Velocity,1996,14.65152,263.9785,13.9,0.54,700,
55 Cnc,c,55 Cnc c,Radial Velocity,2004,44.4175,54.4738,8.51,0.486,,
55 Cnc,d,55 Cnc d,Radial Velocity,2002,4825,1232.493,13,3.08,,
55 Cnc,e,55 Cnc e,Radial Velocity,2004,0.736539,8.08,1.91,6.4,1958,
55 Cnc,f,55 Cnc f,Radial Velocity,2007,262,44.812,7.59,0.563,,
6 Lyn,b,6 Lyn b,Radial Velocity,2008,934.3,638.8383,13.4,1.46,,
61 Vir,b,61 Vir b,Radial Velocity,2009,4.215,5.1,2.11,2.98,,
61 Vir,c,61 Vir c,Radial Velocity,2009,38.021,18.2,4.46,1.13,,
61 Vir,d,61 Vir d,Radial Velocity,2009,123.01,22.9,5.11,0.943,,
7 CMa,b,7 CMa b,Radial Velocity,2011,735.1,587.9855,13.4,1.34,,
7 CMa,c,7 CMa c,Radial Velocity,2019,996,276.5121,13.9,0.566,,
70 Vir,b,70 Vir b,Radial Velocity,1996,116.688,2380.45,12.6,6.54,,
75 Cet,b,75 Cet b,Radial Velocity,2012,691.9,953.49,13.1,2.33,,
8 UMi,b,8 UMi b,Radial Velocity,2015,93.4,416.3573,13.6,0.91,,
81 Cet,b,81 Cet b,Radial Velocity,2008,952.7,1684.4,12.8,4.41,,
91 Aqr,b,91 Aqr b,Radial Velocity,2013,181.4,1017,13.1,2.49,,
AB Pic,b,AB Pic b,Imaging,2005,,4290.5,12.3,12.7,,
AU Mic,b,AU Mic b,Transit,2020,8.46321,57.2094,4.203,4.4,,
BD+03 2562,b,BD+03 2562 b,Radial Velocity,2017,481.9,2034.112,12.7,5.46,,
BD+14 4559,b,BD+14 4559 b,Radial Velocity,2009,268.94,330.5432,13.8,0.691,,
BD+15 2375,b,BD+15 2375 b,Radial Velocity,2016,153.22,337.21763,13.8,0.705,,
BD+15 2940,b,BD+15 2940 b,Radial Velocity,2013,137.48,352.78,13.7,0.754,,
BD+20 2457,b,BD+20 2457 b,Radial Velocity,2009,379.63,17668.1697,11.6,62.2,,
BD+20 2457,c,BD+20 2457 c,Radial Velocity,2009,621.99,3963.17,12.4,11.4,,
BD+20 274,b,BD+20 274 b,Radial Velocity,2012,578.2,1334.886,13,3.34,,
BD+20 594,b,BD+20 594 b,Transit,2016,41.6855,22.2481,2.578,7.89,546,
BD+48 738,b,BD+48 738 b,Radial Velocity,2011,392.6,289.2253,13.9,0.592,,
BD+48 740,b,BD+48 740 b,Radial Velocity,2018,733,540.311,13.5,1.21,,
BD+49 828,b,BD+49 828 b,Radial Velocity,2015,2590,508.5,13.5,1.14,,
BD-06 1339,b,BD-06 1339 b,Radial Velocity,2013,3.8728,8.5,2.85,2.02,,
BD-06 1339,c,BD-06 1339 c,Radial Velocity,2013,125.94,53,8.38,0.495,,
BD-08 2823,b,BD-08 2823 b,Radial Velocity,2009,5.6,12.7132,3.61,1.48,,
BD-08 2823,c,BD-08 2823 c,Radial Velocity,2009,237.6,104,12.5,0.293,,
BD-10 3166,b,BD-10 3166 b,Radial Velocity,2000,3.48777,187.5197,14.1,0.368,,
BD-11 4672,b,BD-11 4672 b,Radial Velocity,2014,1634,206.5895,14.1,0.405,,
BD-11 4672,c,BD-11 4672 c,Radial Velocity,2020,74.2,15.37,4.04,1.28,,
BD-13 2130,b,BD-13 2130 b,Radial Velocity,2007,714.29999,3108.3774,12.5,8.75,,
BD-17 63,b,BD-17 63 b,Radial Velocity,2008,655.6,1620.9,12.8,4.25,,
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,2011,10037.5,3337.1,12.4,9.62,370,
CHXR 73,b,CHXR 73 b,Imaging,2006,,3994.486,12.3,11.8,,
CI Tau,b,CI Tau b,Radial Velocity,2019,8.9891,3686.828,12.4,10.6,,
CT Cha,b,CT Cha b,Imaging,2007,,5403,24.66,1.98,2600,
CoRoT-1,b,CoRoT-1 b,Transit,2008,1.5089557,327.35,16.7,0.38,1898,
CoRoT-10,b,CoRoT-10 b,Transit,2010,13.2406,874,10.87,3.7,600,
CoRoT-11,b,CoRoT-11 b,Transit,2010,2.99433,740.51,16.03,0.99,1657,
CoRoT-12,b,CoRoT-12 b,Transit,2010,2.828042,291.438,16.14,0.411,1442,
CoRoT-13,b,CoRoT-13 b,Transit,2010,4.03519,415.704,9.92,2.34,1700,
CoRoT-14,b,CoRoT-14 b,Transit,2010,1.51214,2415.4,12.22,7.3,1952,
CoRoT-16,b,CoRoT-16 b,Transit,2011,5.35227,170.032,13.11,0.44,,
CoRoT-17,b,CoRoT-17 b,Transit,2011,3.7681,772.29,11.43,2.82,1626,
CoRoT-18,b,CoRoT-18 b,Transit,2011,1.9000693,1102.82,14.68,2.2,1550,
CoRoT-19,b,CoRoT-19 b,Transit,2011,3.89713,352.78,14.46,0.71,2000,
CoRoT-2,b,CoRoT-2 b,Transit,2008,1.7429935,1102.82,16.432,1.47,1521,
CoRoT-20,b,CoRoT-20 b,Transit,2011,9.24285,1366.669,9.416,8.87,1024,
CoRoT-20,c,CoRoT-20 c,Radial Velocity,2018,1675,5403.11,12.2,16.4,,
CoRoT-21,b,CoRoT-21 b,Transit,2012,2.72474,718.2958,14.572,1.36,,
CoRoT-22,b,CoRoT-22 b,Transit,2014,9.75598,12.2,4.88,0.249,885,
CoRoT-23,b,CoRoT-23 b,Transit,2011,3.6313,889.9,11.77,3,1660,
CoRoT-24,b,CoRoT-24 b,Transit,2014,5.1134,5.7,3.7,0.9,1070,
CoRoT-24,c,CoRoT-24 c,Transit,2014,11.759,28,5,1.3,850,
CoRoT-25,b,CoRoT-25 b,Transit,2013,4.86069,85.81,12.11,0.15,1330,
CoRoT-26,b,CoRoT-26 b,Transit,2013,4.20474,165.26,14.12,0.28,1600,
CoRoT-27,b,CoRoT-27 b,Transit,2014,3.57532,3302.11,11.287,12.6,1500,
CoRoT-28,b,CoRoT-28 b,Transit,2015,5.20851,153.82972,10.705,0.69,,
CoRoT-29,b,CoRoT-29 b,Transit,2015,2.85057,270.1555,10.088,1.45,,
CoRoT-3,b,CoRoT-3 b,Transit,2008,4.2568,6883.91,11.32,26.4,1695,
CoRoT-30,b,CoRoT-30 b,Transit,2020,9.06005,921.707,11.31,3.45,,
CoRoT-31,b,CoRoT-31 b,Transit,2020,4.62941,266.9772,16.365,0.33,,
CoRoT-4,b,CoRoT-4 b,Transit,2008,9.20205,228.83,13.34,0.525,1074,
CoRoT-5,b,CoRoT-5 b,Transit,2009,4.0378962,148.42,15.558,0.217,1438,
CoRoT-6,b,CoRoT-6 b,Transit,2009,8.886593,940.74,13.068,2.32,1017,
CoRoT-7,b,CoRoT-7 b,Transit,2009,0.85359163,3.1783,1.681,6.61,1756,
CoRoT-7,c,CoRoT-7 c,Radial Velocity,2009,3.698,8.4,2.83,2.04,,
CoRoT-8,b,CoRoT-8 b,Transit,2010,6.21229,69.92,6.39,1.6,870,
CoRoT-9,b,CoRoT-9 b,Transit,2009,95.272656,266.9772,11.949,0.86,420,
CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,2017,6.71837,47.6745,6.389,1.1,938,132.26
DE CVn,b,DE CVn b,Eclipse Timing Variations,2018,4098.1,3823.2733,12.4,11,,
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,2013,246.36,9057.77,11.9,29.5,,
DH Tau,b,DH Tau b,Imaging,2004,,3496,30.264,0.693,2200,
DMPP-1,b,DMPP-1 b,Radial Velocity,2019,18.57,24.27,5.29,0.901,877,
DMPP-1,c,DMPP-1 c,Radial Velocity,2019,6.584,9.6,3.06,1.84,1239,
DMPP-1,d,DMPP-1 d,Radial Velocity,2019,2.882,3.35,1.65,4.1,1632,
DMPP-1,e,DMPP-1 e,Radial Velocity,2019,5.516,4.13,1.86,3.53,1314,
DMPP-2,b,DMPP-2 b,Radial Velocity,2019,5.2072,138.89171,14.3,0.261,1000,
DMPP-3 A,b,DMPP-3 A b,Radial Velocity,2019,6.6732,2.58,1.41,5.06,854,
DP Leo,b,DP Leo b,Eclipse Timing Variations,2009,10220,1995.88832,12.7,5.35,,
DS Tuc A,b,DS Tuc A b,Transit,2019,8.138268,413.179,5.7,,850,
EPIC 201238110,b,EPIC 201238110 b,Transit,2019,28.1656,4.16,1.87,3.5,,
EPIC 201497682,b,EPIC 201497682 b,Transit,2019,2.13174,0.26,0.692,4.31,,
K2-166,c,EPIC 201615463 c,Transit,2019,3.80464,1.98,1.22,5.99,,
K2-16,d,EPIC 201754305 d,Transit,2019,2.71578,1.08,1.03,5.43,,
K2-50,c,EPIC 201833600 c,Transit,2019,3.96151,0.972,1,5.34,,
EPIC 201841433,b,EPIC 201841433 b,Transit,2019,4.16959,1.37,1.1,5.66,,
K2-168,c,EPIC 205950854 c,Transit,2019,8.050722,2.27,1.31,5.55,961,
EPIC 206024342,b,EPIC 206024342 b,Transit,2019,4.50756,3.53,1.7,3.95,,
EPIC 206032309,b,EPIC 206032309 b,Transit,2019,2.87814,1.01,1.01,5.39,,
EPIC 206042996,b,EPIC 206042996 b,Transit,2019,5.29711,3.26,1.62,4.21,,
EPIC 206215704,b,EPIC 206215704 b,Transit,2019,2.25372,0.666,0.9,5.02,,
EPIC 206317286,b,EPIC 206317286 b,Transit,2019,1.58252,0.84,0.96,5.22,,
EPIC 211822797,b,EPIC 211822797 b,Transit,2016,21.169861,4.58,1.98,3.24,,3.5
EPIC 211945201,b,EPIC 211945201 b,Transit,2018,19.49221,27,5.76,0.65,817,
EPIC 212297394,b,EPIC 212297394 b,Transit,2019,2.28943,2.31,1.323,5.48,,
EPIC 212424622,b,EPIC 212424622 b,Transit,2019,18.0983,5.35,2.17,2.88,,
EPIC 212499991,b,EPIC 212499991 b,Transit,2019,34.885,3.19,1.6,4.28,,
EPIC 212587672,b,EPIC 212587672 b,Transit,2019,15.2841,1.46,1.12,5.71,,
EPIC 212737443,b,EPIC 212737443 b,Transit,2019,13.603,7.2,2.586,2.29,536,
EPIC 212737443,c,EPIC 212737443 c,Transit,2019,65.55,7.7,2.69,2.17,316,
K2-282,c,EPIC 220554210 c,Transit,2019,0.70531,2.79,1.48,4.73,,
EPIC 220674823,b,EPIC 220674823 b,Transit,2016,0.571331,7.72,1.82,8.5,2119,4293
EPIC 220674823,c,EPIC 220674823 c,Transit,2016,13.339079,5.8,2.73,2,741,64
EPIC 246851721,b,EPIC 246851721 b,Transit,2018,6.180235,953.49,11.781,3.1,1401,642
EPIC 248847494,b,EPIC 248847494 b,Transit,2018,3650,4131.79,12.442,,183,0.19
EPIC 249893012,b,EPIC 249893012 b,Transit,2020,3.5951,8.75,1.95,6.39,1616,1037
EPIC 249893012,c,EPIC 249893012 c,Transit,2020,15.624,14.67,3.67,1.62,990,160
EPIC 249893012,d,EPIC 249893012 d,Transit,2020,35.747,10.18,3.94,0.91,752,53
FU Tau,b,FU Tau b,Imaging,2008,,5085.28,12.2,15.4,2375,
G 9-40,b,G 9-40 b,Transit,2019,5.746007,4.76,2.025,3.15,456,7.2
GJ 1061,b,GJ 1061 b,Radial Velocity,2020,3.204,1.37,1.1,5.66,,3.8
GJ 1061,c,GJ 1061 c,Radial Velocity,2020,6.689,1.74,1.18,5.82,,1.4
GJ 1061,d,GJ 1061 d,Radial Velocity,2020,13.031,1.64,1.16,5.77,,0.6
GJ 1132,b,GJ 1132 b,Transit,2015,1.628931,1.66,1.13,6.3,529,
GJ 1132,c,GJ 1132 c,Radial Velocity,2018,8.929,2.64,1.43,4.96,300,
GJ 1148,b,GJ 1148 b,Radial Velocity,2010,41.38,96.7,11.9,0.315,,
GJ 1148,c,GJ 1148 c,Radial Velocity,2017,532.58,68.06,9.71,0.409,,
GJ 1214,b,GJ 1214 b,Transit,2009,1.58040456,6.26125,2.847,1.49,547,
GJ 1252,b,GJ 1252 b,Transit,2020,0.5182349,2.09,1.193,6.76,1089,
GJ 1265,b,GJ 1265 b,Radial Velocity,2018,3.6511,7.4,2.63,2.24,,
GJ 143,b,GJ 143 b,Transit,2019,35.61253,22.7,2.61,7,422,
GJ 15 A,b,GJ 15 A b,Radial Velocity,2014,11.4407,3.03,1.55,4.47,550,
GJ 15 A,c,GJ 15 A c,Radial Velocity,2018,7600,36,6.67,0.667,,
GJ 160.2,b,GJ 160.2 b,Radial Velocity,2014,5.2354,10.2,3.17,1.76,,
GJ 163,b,GJ 163 b,Radial Velocity,2013,8.63182,10.6,3.25,1.7,,
GJ 163,c,GJ 163 c,Radial Velocity,2013,25.63058,6.8,2.5,2.39,,
GJ 163,d,GJ 163 d,Radial Velocity,2013,603.95116,29.4,5.92,0.779,,
GJ 179,b,GJ 179 b,Radial Velocity,2009,2288,260.61,13.9,0.533,,
GJ 180,b,GJ 180 b,Radial Velocity,2014,17.133,6.49,2.43,2.49,,
GJ 180,c,GJ 180 c,Radial Velocity,2014,24.329,6.4,2.41,2.51,,
GJ 180,d,GJ 180 d,Radial Velocity,2020,106.3,7.56,2.66,2.21,,
GJ 2056,b,GJ 2056 b,Radial Velocity,2020,69.971,16.2,4.17,1.23,,
GJ 229,c,GJ 229 A c,Radial Velocity,2020,121.995,7.268,2.6,2.27,,
GJ 229,b,GJ 229 b,Radial Velocity,2014,526.115,8.478,2.85,2.01,,
GJ 27.1,b,GJ 27.1 b,Radial Velocity,2014,15.819,13,3.66,1.46,,
GJ 273,b,GJ 273 b,Radial Velocity,2017,18.6498,2.89,1.51,4.61,,1.06
GJ 273,c,GJ 273 c,Radial Velocity,2017,4.7234,1.18,1.06,5.44,,6.66
GJ 3021,b,GJ 3021 b,Radial Velocity,2000,133.71,1071.04,13.1,2.62,350,
GJ 3082,b,GJ 3082 b,Radial Velocity,2020,11.949,8.2,2.79,2.07,,
GJ 3138,b,GJ 3138 b,Radial Velocity,2017,1.22003,1.78,1.18,5.95,,118.1
GJ 3138,c,GJ 3138 c,Radial Velocity,2017,5.974,4.18,1.88,3.46,,13.9
GJ 3138,d,GJ 3138 d,Radial Velocity,2017,257.8,10.5,3.23,1.71,,0.1
GJ 317,b,GJ 317 b,Radial Velocity,2007,695.66,794.5,13.3,1.86,,
GJ 317,c,GJ 317 c,Radial Velocity,2018,6739.323,522.5,13.5,1.17,,
GJ 328,b,GJ 328 b,Radial Velocity,2013,4100,731,13.3,1.71,,
GJ 3293,b,GJ 3293 b,Radial Velocity,2015,30.5987,23.54,5.19,0.925,,1.07
GJ 3293,c,GJ 3293 c,Radial Velocity,2015,122.6196,21.09,4.87,1,,0.17
GJ 3293,d,GJ 3293 d,Radial Velocity,2017,48.1345,7.6,2.67,2.19,,0.59
GJ 3293,e,GJ 3293 e,Radial Velocity,2017,13.2543,3.28,1.63,4.16,,3.34
GJ 3323,b,GJ 3323 b,Radial Velocity,2017,5.3636,2.02,1.23,5.96,,2.58
GJ 3323,c,GJ 3323 c,Radial Velocity,2017,40.54,2.31,1.32,5.52,,0.17
GJ 3341,b,GJ 3341 b,Radial Velocity,2015,14.207,6.6,2.46,2.44,,
GJ 338 B,b,GJ 338 B b,Radial Velocity,2020,24.45,10.27,3.19,1.74,391,
GJ 3470,b,GJ 3470 b,Radial Velocity,2012,3.3366496,13.9,4.57,0.8,594,
GJ 3512,b,GJ 3512 b,Radial Velocity,2019,203.59,147.15529,14.3,0.277,,
GJ 357,b,GJ 357 b,Transit,2019,3.93072,1.84,1.217,5.6,525,12.6
GJ 357,c,GJ 357 c,Radial Velocity,2019,9.1247,3.4,1.66,4.08,401,4.45
GJ 357,d,GJ 357 d,Radial Velocity,2019,55.661,6.1,2.34,2.62,220,0.38
GJ 3634,b,GJ 3634 b,Radial Velocity,2010,2.64561,8.4,2.83,2.04,,
GJ 3779,b,GJ 3779 b,Radial Velocity,2018,3.0232,8,2.75,2.11,,
GJ 3942,b,GJ 3942 b,Radial Velocity,2017,6.905,7.14,2.57,2.31,590,
GJ 3998,b,GJ 3998 b,Radial Velocity,2016,2.64977,2.47,1.38,5.16,,
GJ 3998,c,GJ 3998 c,Radial Velocity,2016,13.74,6.26,2.38,2.55,,
GJ 411,b,GJ 411 b,Radial Velocity,2019,12.9532,2.99,1.54,4.5,350,
GJ 422,b,GJ 422 b,Radial Velocity,2014,20.129,11.07,3.33,1.65,,
GJ 4276,b,GJ 4276 b,Radial Velocity,2019,13.352,16.57,4.22,1.21,,
GJ 433,b,GJ 433 b,Radial Velocity,2011,7.3705,6.043,2.33,2.63,,
GJ 433,c,GJ 433 c,Radial Velocity,2014,5094.105,32.422,6.27,0.723,,
GJ 433,d,GJ 433 d,Radial Velocity,2020,36.059,5.223,2.14,2.93,,
GJ 436,b,GJ 436 b,Radial Velocity,2004,2.64388312,22.1,4.17,1.8,686,
GJ 480,b,GJ 480 b,Radial Velocity,2020,9.567,13.2,3.69,1.44,,
GJ 504,b,GJ 504 b,Imaging,2013,,1271.3,13,3.18,510,
GJ 536,b,GJ 536 b,Radial Velocity,2016,8.7076,5.36,2.17,2.88,,
GJ 581,b,GJ 581 b,Radial Velocity,2005,5.3686,15.8,4.11,1.25,,
GJ 581,c,GJ 581 c,Radial Velocity,2007,12.914,5.5,2.21,2.8,,
GJ 581,e,GJ 581 e,Radial Velocity,2009,3.149,1.7,1.17,5.83,,
GJ 625,b,GJ 625 b,Radial Velocity,2017,14.628,2.82,1.49,4.68,,
GJ 649,b,GJ 649 b,Radial Velocity,2009,598.3,104.244,12.5,0.293,,
GJ 667 C,b,GJ 667 C b,Radial Velocity,2011,7.2004,5.6,2.23,2.77,,
GJ 667 C,c,GJ 667 C c,Radial Velocity,2011,28.14,3.8,1.77,3.77,,
GJ 667 C,e,GJ 667 C e,Radial Velocity,2013,62.24,2.7,1.45,4.87,,
GJ 667 C,f,GJ 667 C f,Radial Velocity,2013,39.026,2.7,1.45,4.87,,
GJ 667 C,g,GJ 667 C g,Radial Velocity,2013,256.2,4.6,1.99,3.21,,
GJ 674,b,GJ 674 b,Radial Velocity,2007,4.6938,11.09,3.33,1.65,,
GJ 676 A,b,GJ 676 A b,Radial Velocity,2010,1056.80005,2129.461,12.7,5.71,,
GJ 676 A,c,GJ 676 A c,Radial Velocity,2016,7337,2161.244,12.7,5.8,,
GJ 676 A,d,GJ 676 A d,Radial Velocity,2012,3.6005,4.4,1.93,3.36,,
GJ 676 A,e,GJ 676 A e,Radial Velocity,2012,35.39,8.1,2.77,2.09,,
GJ 682,b,GJ 682 b,Radial Velocity,2014,17.478,4.4,1.93,3.36,,
GJ 682,c,GJ 682 c,Radial Velocity,2014,57.32,8.7,2.89,1.98,,
GJ 685,b,GJ 685 b,Radial Velocity,2019,24.16,9,2.95,1.93,,
GJ 687,b,GJ 687 b,Radial Velocity,2014,38.142,17.2,4.32,1.17,,
GJ 687,c,GJ 687 c,Radial Velocity,2020,727.562,16,4.14,1.24,,
GJ 832,b,GJ 832 b,Radial Velocity,2008,3657,216,14,0.433,,
GJ 832,c,GJ 832 c,Radial Velocity,2014,35.68,5.4,2.18,2.86,,
GJ 849,b,GJ 849 b,Radial Velocity,2006,1882,317.83,13.8,0.665,,
GJ 86,b,GJ 86 b,Radial Velocity,1999,15.76491,1404.8086,12.9,3.6,,
GJ 876,b,GJ 876 b,Radial Velocity,1998,61.1166,723.2235,13.3,1.69,,
GJ 876,c,GJ 876 c,Radial Velocity,2000,30.0881,226.9846,14,0.455,,
GJ 876,d,GJ 876 d,Radial Velocity,2005,1.93778,6.83,2.51,2.37,,
GJ 876,e,GJ 876 e,Radial Velocity,2010,124.26,14.6,3.92,1.33,,
GJ 887,b,GJ 887 b,Radial Velocity,2020,9.262,4.2,1.88,3.47,468,7.95
GJ 887,c,GJ 887 c,Radial Velocity,2020,21.789,7.6,2.67,2.19,352,2.56
GJ 9066,b,GJ 9066 b,Radial Velocity,2020,241.883,30.9,6.1,0.748,,
GJ 9066,c,GJ 9066 c,Radial Velocity,2020,767.887,71.6,10,0.393,,
GJ 96,b,GJ 96 b,Radial Velocity,2018,73.94,19.66,4.67,1.06,,
GJ 9827,b,GJ 9827 b,Transit,2017,1.2089819,4.91,1.577,6.93,1044,315
GJ 9827,c,GJ 9827 c,Transit,2017,3.6480957,0.84,1.241,2.42,722,72
GJ 9827,d,GJ 9827 d,Transit,2017,6.2014698,4.04,2.022,2.69,605,35.6
GQ Lup,b,GQ Lup b,Imaging,2004,,6356,33.6,0.921,2650,
GSC 06214-00210,b,GSC 06214-00210 b,Imaging,2010,,5000,20.176,3.35,2300,
GU Psc,b,GU Psc b,Imaging,2014,,3591.3,14.179,6.92,1050,
Gl 378,b,Gl 378 b,Radial Velocity,2019,3.822,13.02,3.66,1.46,830,
Gl 49,b,Gl 49 b,Radial Velocity,2019,13.8508,5.63,2.24,2.75,,
Gl 686,b,Gl 686 b,Radial Velocity,2018,15.5314,6.64,2.46,2.45,379,
HAT-P-1,b,HAT-P-1 b,Transit,2006,4.46529976,166.86075,14.785,0.282,1322,
HAT-P-11,b,HAT-P-11 b,Transit,2008,4.88780244,26.69772,4.36,1.68,838,100.77
HAT-P-11,c,HAT-P-11 c,Radial Velocity,2018,3407,731.009,13.3,1.71,,
HAT-P-12,b,HAT-P-12 b,Transit,2009,3.2130598,67.059,10.749,0.3192,963,
HAT-P-13,b,HAT-P-13 b,Transit,2009,2.91625,270.462,14.258,0.362,1740,
HAT-P-13,c,HAT-P-13 c,Radial Velocity,2009,446.27,4538.421,12.3,13.4,340,
HAT-P-14,b,HAT-P-14 b,Transit,2010,4.62767,1093.3352,15.917,1.56,1624,
HAT-P-15,b,HAT-P-15 b,Transit,2010,10.8635,616.5902,11.882,1.96,904,
HAT-P-16,b,HAT-P-16 b,Transit,2010,2.77596,1332.605,14.448,2.42,1626,
HAT-P-17,b,HAT-P-17 b,Transit,2010,10.33852,184.3414,11.769,0.64,792,
HAT-P-17,c,HAT-P-17 c,Radial Velocity,2010,5584,1080.6,13.1,2.64,,
HAT-P-18,b,HAT-P-18 b,Transit,2010,5.508023,62.61,11.153,0.25,852,
HAT-P-19,b,HAT-P-19 b,Transit,2010,4.008778,92.802,12.689,0.25,1010,
HAT-P-2,b,HAT-P-2 b,Transit,2007,5.6335158,2765.121,10.66,7.29,1540,
HAT-P-20,b,HAT-P-20 b,Transit,2010,2.875317,2302.899,9.718,13.78,970,
HAT-P-21,b,HAT-P-21 b,Transit,2010,4.12448,1547.8321,12.442,4.6,1283,
HAT-P-22,b,HAT-P-22 b,Transit,2010,3.21222,785.0401,12.89,2.14,1463,
HAT-P-23,b,HAT-P-23 b,Transit,2010,1.21288,425.8922,12.218,1.406,1951,
HAT-P-24,b,HAT-P-24 b,Transit,2010,3.35524,238.3725,14.572,0.44,1637,
HAT-P-25,b,HAT-P-25 b,Transit,2010,3.65281514,180.84527,12.722,0.483,1182,325
HAT-P-26,b,HAT-P-26 b,Transit,2010,4.23452,22.2481,7.062,0.4,1001,
HAT-P-27,b,HAT-P-27 b,Transit,2011,3.039577,197.05,11.43,0.76,,
HAT-P-28,b,HAT-P-28 b,Transit,2011,3.257215,198.953,13.585,0.44,1384,
HAT-P-29,b,HAT-P-29 b,Transit,2011,5.72319,279.6904,13.115,0.79,1271,433
HAT-P-3,b,HAT-P-3 b,Transit,2007,2.8997,206.5895,10.536,0.855,1189,
HAT-P-30,b,HAT-P-30 b,Transit,2011,2.8106,263.7989,16.141,0.309,1630,
HAT-P-31,b,HAT-P-31 b,Transit,2011,5.00542,721.4741,12.218,2.18,1450,
HAT-P-32,b,HAT-P-32 b,Transit,2011,2.1500082,216.1244,22.194,0.108,1836,1841
HAT-P-33,b,HAT-P-33 b,Transit,2011,3.47447,292.4036,20.737,0.2,1782,
HAT-P-34,b,HAT-P-34 b,Transit,2011,5.452654,1058.3739,13.417,2.5,1520,
HAT-P-35,b,HAT-P-35 b,Transit,2011,3.646706,335.62848,14.93,0.55,1581,
HAT-P-36,b,HAT-P-36 b,Transit,2011,1.32734683,587.41341,14.314,1.175,1781,1821
HAT-P-37,b,HAT-P-37 b,Transit,2011,2.797436,371.528,13.204,0.89,1271,
HAT-P-38,b,HAT-P-38 b,Transit,2012,4.640382,84.857,9.247,0.59,1082,
HAT-P-39,b,HAT-P-39 b,Transit,2012,3.54387,190.372,17.609,0.19,1752,
HAT-P-4,b,HAT-P-4 b,Transit,2007,3.056536,213.255,14.28,0.403,1686,
HAT-P-40,b,HAT-P-40 b,Transit,2012,4.45724,152.5584,17.038,0.15,1770,
HAT-P-41,b,HAT-P-41 b,Transit,2012,2.69405,378.2177,22.978,0.204,1941,
HAT-P-42,b,HAT-P-42 b,Transit,2012,4.641878,331.801,14.348,0.61,1428,
HAT-P-43,b,HAT-P-43 b,Transit,2012,3.332687,210.395,14.359,0.39,1361,
HAT-P-44,b,HAT-P-44 b,Transit,2014,4.301219,111.871,13.922,0.23,1108,
HAT-P-44,c,HAT-P-44 c,Radial Velocity,2014,872.2,1271.3,13,3.18,,
HAT-P-45,b,HAT-P-45 b,Transit,2014,3.128992,283.492,15.984,0.38,1652,
