Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
Kepler-199,b,Kepler-199 b,Transit,2014,23.637604,9.85,3.11,1.8,,31.679
Kepler-199,c,Kepler-199 c,Transit,2014,67.093408,10.6,3.25,1.7,,7.885
Kepler-20,b,Kepler-20 b,Transit,2011,3.69611525,9.7,1.868,8.2,1105,324.114
Kepler-20,c,Kepler-20 c,Transit,2011,10.85409089,12.75,3.047,2.5,772,77.023
Kepler-20,d,Kepler-20 d,Transit,2011,77.61130017,10.07,2.744,2.7,401,5.591
Kepler-20,e,Kepler-20 e,Transit,2011,6.09852281,3.08,0.865,,1040,165.999
Kepler-20,f,Kepler-20 f,Transit,2011,19.57758478,14.3,1.003,,705,35.067
Kepler-20,g,Kepler-20 g,Radial Velocity,2016,34.94,19.96,4.71,1.05,524,
Kepler-200,b,Kepler-200 b,Transit,2014,8.594805,5.18,2.13,2.95,,159.069
Kepler-200,c,Kepler-200 c,Transit,2014,10.222157,3.15,1.59,4.31,,126.361
Kepler-201,b,Kepler-201 b,Transit,2014,25.672083,6.62,2.46,2.44,,64.549
Kepler-201,c,Kepler-201 c,Transit,2014,151.884058,8.5,2.85,2.02,,6.033
Kepler-202,b,Kepler-202 b,Transit,2014,4.069427,3.29,1.63,4.17,,108.504
Kepler-202,c,Kepler-202 c,Transit,2014,16.282493,4.08,1.85,3.54,,17.07
Kepler-203,b,Kepler-203 b,Transit,2014,3.162697,7.13,2.57,2.31,,668.215
Kepler-203,c,Kepler-203 c,Transit,2014,5.370647,749.9,2.47,273,,329.788
Kepler-203,d,Kepler-203 d,Transit,2014,11.32972,33.9,1.44,62.4,,121.816
Kepler-204,b,Kepler-204 b,Transit,2014,14.400974,6.94,2.53,2.35,,79.703
Kepler-204,c,Kepler-204 c,Transit,2014,25.660593,3.86,1.79,3.7,,36.886
Kepler-205,b,Kepler-205 b,Transit,2014,2.75564,2.89,1.51,4.61,672,102.562
Kepler-205,c,Kepler-205 c,Transit,2014,20.306546,3.33,1.64,4.15,345,7.14
Kepler-206,b,Kepler-206 b,Transit,2014,7.781987,1.87,1.2,5.95,,192.273
Kepler-206,c,Kepler-206 c,Transit,2014,13.137471,3.78,1.77,3.75,,95.51
Kepler-206,d,Kepler-206 d,Transit,2014,23.44281,1.81,1.19,5.9,,44.17
Kepler-207,b,Kepler-207 b,Transit,2014,1.611865,3.09,1.57,4.39,,4097.318
Kepler-207,c,Kepler-207 c,Transit,2014,3.071571,2.86,1.5,4.66,,1742.715
Kepler-207,d,Kepler-207 d,Transit,2014,5.868075,11,3.31,1.67,,732.604
Kepler-208,b,Kepler-208 b,Transit,2014,4.22864,3.29,1.63,4.17,,639.576
Kepler-208,c,Kepler-208 c,Transit,2014,7.466623,2.51,1.39,5.14,,300.165
Kepler-208,d,Kepler-208 d,Transit,2014,11.131786,1.87,1.2,5.95,,176.283
Kepler-208,e,Kepler-208 e,Transit,2014,16.259458,2.79,1.48,4.73,,106.345
Kepler-209,b,Kepler-209 b,Transit,2014,16.087845,5.73,2.26,2.73,,48.662
Kepler-209,c,Kepler-209 c,Transit,2014,41.749882,9.8,3.1,1.81,,13.637
Kepler-21,b,Kepler-21 b,Transit,2012,2.78578,5.08,1.639,6.4,2025,3021.187
Kepler-210,b,Kepler-210 b,Transit,2014,2.453234,8.96,2.94,1.94,734,122.139
Kepler-210,c,Kepler-210 c,Transit,2014,7.972513,12.8,3.62,1.48,495,25.44
Kepler-211,b,Kepler-211 b,Transit,2014,4.138575,2.13,1.26,5.85,,158.188
Kepler-211,c,Kepler-211 c,Transit,2014,6.04045,18.3,1.29,46.8,,95.436
Kepler-212,b,Kepler-212 b,Transit,2014,16.257582,1.32,1.09,5.6,,133.866
Kepler-212,c,Kepler-212 c,Transit,2014,31.805174,7.95,2.74,2.12,,54.662
Kepler-213,b,Kepler-213 b,Transit,2014,2.46236,3.26,1.62,4.21,,833.469
Kepler-213,c,Kepler-213 c,Transit,2014,4.822962,6.08,2.34,2.61,,339.536
Kepler-214,b,Kepler-214 b,Transit,2014,15.660544,7.32,2.61,2.26,,196.402
Kepler-214,c,Kepler-214 c,Transit,2014,28.7798,5.18,2.13,2.95,,87.244
Kepler-215,b,Kepler-215 b,Transit,2014,9.360672,3.26,1.62,4.21,,105.073
Kepler-215,c,Kepler-215 c,Transit,2014,14.667108,3.78,1.77,3.75,,57.694
Kepler-215,d,Kepler-215 d,Transit,2014,30.864423,23.6,2.39,9.5,,21.404
Kepler-215,e,Kepler-215 e,Transit,2014,68.16101,3.71,1.75,3.8,,7.444
Kepler-216,b,Kepler-216 b,Transit,2014,7.693641,6.12,2.35,2.59,,540.034
Kepler-216,c,Kepler-216 c,Transit,2014,17.406669,9.48,3.04,1.85,,182.057
Kepler-217,b,Kepler-217 b,Transit,2014,5.374943,5.6,2.23,2.77,,1366.477
Kepler-217,c,Kepler-217 c,Transit,2014,8.586004,4.08,1.85,3.54,,730.808
Kepler-217,d,Kepler-217 d,Transit,2016,3.88689525,2.3,1.32,5.5,,2099.752
Kepler-218,b,Kepler-218 b,Transit,2014,3.619337,2.79,1.48,4.73,,460.656
Kepler-218,c,Kepler-218 c,Transit,2014,44.699576,10,3.14,1.77,,16.147
Kepler-218,d,Kepler-218 d,Transit,2016,124.5244647,7.56,2.66,2.21,,4.118
Kepler-219,b,Kepler-219 b,Transit,2014,4.585512,9.01,2.95,1.93,,456.732
Kepler-219,c,Kepler-219 c,Transit,2014,22.714613,12.5,3.58,1.5,,54.105
Kepler-219,d,Kepler-219 d,Transit,2014,47.903645,19.1,2.81,4.73,,20.01
Kepler-22,b,Kepler-22 b,Transit,2011,289.8623,36,2.38,14.7,262,0.956
Kepler-220,b,Kepler-220 b,Transit,2014,4.159807,0.457,0.81,4.73,,105.001
Kepler-220,c,Kepler-220 c,Transit,2014,9.034199,3.09,1.57,4.39,,37.321
Kepler-220,d,Kepler-220 d,Transit,2014,28.122397,0.904,0.98,5.28,,8.208
Kepler-220,e,Kepler-220 e,Transit,2014,45.902733,2.33,1.33,5.44,,4.274
Kepler-221,b,Kepler-221 b,Transit,2014,2.795906,3.57,1.71,3.92,,308.885
Kepler-221,c,Kepler-221 c,Transit,2014,5.690586,15.1,2.93,3.3,,119.836
Kepler-221,d,Kepler-221 d,Transit,2014,10.04156,7.9,2.73,2.13,,56.293
Kepler-221,e,Kepler-221 e,Transit,2014,18.369917,7.41,2.63,2.24,,25.156
Kepler-222,b,Kepler-222 b,Transit,2014,3.936981,10.1,3.16,1.76,,206.769
Kepler-222,c,Kepler-222 c,Transit,2014,10.08881,19.4,4.64,1.07,,59.076
Kepler-222,d,Kepler-222 d,Transit,2014,28.081912,13.2,3.69,1.44,,15.087
Kepler-223,b,Kepler-223 b,Transit,2014,7.38449,7.4,2.99,1.54,,444.053
Kepler-223,c,Kepler-223 c,Transit,2014,9.84564,5.1,3.44,0.71,,302.474
Kepler-223,d,Kepler-223 d,Transit,2014,14.78869,8,5.24,0.31,,175.951
Kepler-223,e,Kepler-223 e,Transit,2014,19.72567,4.8,4.6,0.28,,119.882
Kepler-224,b,Kepler-224 b,Transit,2014,3.132924,2.51,1.39,5.14,,201.489
Kepler-224,c,Kepler-224 c,Transit,2014,5.925003,9.91,3.12,1.79,,86.332
Kepler-224,d,Kepler-224 d,Transit,2014,11.349393,5.9,2.3,2.66,,36.293
Kepler-224,e,Kepler-224 e,Transit,2014,18.643577,4.54,1.97,3.26,,18.732
Kepler-225,b,Kepler-225 b,Transit,2014,6.738975,1.87,1.2,5.95,465,38.883
Kepler-225,c,Kepler-225 c,Transit,2014,18.794234,4.04,1.84,3.56,330,9.903
Kepler-226,b,Kepler-226 b,Transit,2014,3.940997,24,1.55,35.4,,270.402
